Access see Market access, EconomicOperand
Financialization, EconomicOperand
consumer protection,,, EconomicOperand
defined,, EconomicOperand
effects, EconomicOperand
financial innovation, EconomicOperand
retail markets, EconomicOperand
Fragmentation, see Market fragmentation, EconomicOperand
France, EconomicOperand
market abuse, EconomicOperand
shareholder protection, EconomicOperand
structural prudential regulation, EconomicOperand
supervisory model, EconomicOperand
Functional supervision, EconomicOperand
coming under strain, EconomicOperand
defining characteristics, EconomicOperand
U.S. regulatory system, EconomicOperand
Funding, EconomicOperand
bank insolvencies, EconomicOperand
design challenge for retail regulation, EconomicOperand
importance to institutional design, EconomicOperand
‘too-big-to’ institutions, EconomicOperand
G, EconomicOperand
beginnings of change, EconomicOperand
crisis management, EconomicOperand
development of cross-border supervision, EconomicOperand
G, EconomicOperand
commitment to close regulatory gaps, EconomicOperand
countries represented, EconomicOperand
Financial Stability Board, EconomicOperand
High-Level Principles on Financial Consumer Protection,,, EconomicOperand
market integrity, EconomicOperand
named as world’s premier economic forum, EconomicOperand
need for international coordination, EconomicOperand
purpose of regulation, EconomicOperand
reform agenda, EconomicOperand
‘too-big-to’ problems (TBT), EconomicOperand
trading on standardized OTC derivatives, EconomicOperand
trading practices, EconomicOperand
Gatekeepers, EconomicOperand
conflicts of interest, EconomicOperand
disclosure, EconomicOperand
reform of regulatory mechanisms, EconomicOperand
regulatory responses in EU and US, EconomicOperand
underlying problem, EconomicOperand
distortion of markets, EconomicOperand
Germany, EconomicOperand
importance, EconomicOperand
intensification of concerns, EconomicOperand
litigation risk, EconomicOperand
moral hazard, EconomicOperand
overview, EconomicOperand
reputation, EconomicOperand
effect of lack of competition, EconomicOperand
‘hard-wiring’ of CRAs into regulatory system, EconomicOperand
importance, EconomicOperand
role, EconomicOperand
auditors, EconomicOperand
banks, EconomicOperand
credit ratings agencies (CRAs), EconomicOperand
information asymmetry, EconomicOperand
investor protection, EconomicOperand
securities analysts, EconomicOperand
systemic risk, EconomicOperand
spreading of risk, EconomicOperand
terminology, EconomicOperand
Germany, EconomicOperand
bailouts, EconomicOperand
equity market, EconomicOperand
history and development, EconomicOperand
‘insider system’ of ownership, EconomicOperand
investor protection, EconomicOperand
exposure of gaps in international regulation, EconomicOperand
impact of cross-border crisis in s,, EconomicOperand
insurance, EconomicOperand
first-generation integration, EconomicOperand
illustration of integration failure, EconomicOperand
judicial activism, EconomicOperand
shareholder protection, EconomicOperand
structural prudential regulation, EconomicOperand
supervisory model, EconomicOperand
trading practices, EconomicOperand
Global Financial Crisis (GFC), EconomicOperand
causes, EconomicOperand
challenge to pre-existing conceptions, EconomicOperand
exposure of gaps in international regulation, EconomicOperand
failure of accountability, EconomicOperand
fatal blow to transatlantic financial system, EconomicOperand
financial innovation, EconomicOperand
causes of, EconomicOperand
lessons learnt, EconomicOperand
impact on bank governance, EconomicOperand
macro-regulation, EconomicOperand
micro-regulation, EconomicOperand
overview, EconomicOperand
impact on consumer protection, EconomicOperand
conflicts of interest, EconomicOperand
institutional restructuring, EconomicOperand
mortgage-lending practices, EconomicOperand
product intervention, EconomicOperand
restructuring of authorities, EconomicOperand
simplified product disclosure, EconomicOperand
wholesale and retail distinction, EconomicOperand
inadequacy of bank capital, EconomicOperand
key signal for panic, EconomicOperand
moral hazard problems, EconomicOperand
pressure on efficient capital market hypothesis, EconomicOperand
reform of conduct of business regulation, EconomicOperand
review of institutional structures, EconomicOperand
seismic effect on financial regulation , EconomicOperand
shaping of practices and policy, EconomicOperand
US response, EconomicOperand
Globalization, EconomicOperand
challenges facing regulators, EconomicOperand
cross-border regulation, EconomicOperand
history and development of market access and licensing, EconomicOperand
models of cross-border supervision, EconomicOperand
deglobalization of finance, EconomicOperand
enforcement, EconomicOperand
cross-border cooperation, EconomicOperand
jurisdictional and extraterritorial enforcement, EconomicOperand
role of ‘soft law’, EconomicOperand
financial stability as global public good, EconomicOperand
principles-based approaches, EconomicOperand
regulation of market abuse, EconomicOperand
regulation of trading practices, EconomicOperand
risk-based approaches, EconomicOperand
Governance, EconomicOperand
banks and banking, EconomicOperand
Basel III, EconomicOperand
financial innovation, EconomicOperand
centralization of derivatives trading, EconomicOperand
high-frequency trading, EconomicOperand
new margin requirements for OTC, EconomicOperand
impact of financial crises, EconomicOperand
institutional design, EconomicOperand
insurance and preparations for Solvency II, EconomicOperand
micro-prudential regulation of banks, EconomicOperand
new product governance, EconomicOperand
post-trading infrastructures, EconomicOperand
retail markets, EconomicOperand
alternative regulatory strategies, EconomicOperand
rulemaking governance, EconomicOperand
theory, EconomicOperand
trading venues, EconomicOperand
Heuristics (shortcuts), EconomicOperand
behavioural analysis, EconomicOperand
disclosure in financial markets, EconomicOperand
‘financial citizens’, EconomicOperand
anchoring and adjustment, EconomicOperand
availability, EconomicOperand
representativeness, EconomicOperand
numerical measures, EconomicOperand
role of law, EconomicOperand
shaping of human agency, EconomicOperand
simplified monitoring processes, EconomicOperand
High-frequency trading (HFT), EconomicOperand
flawed uses of innovation, EconomicOperand
new processes, EconomicOperand
post-trade transparency requirements, EconomicOperand
regulation after, EconomicOperand
regulatory challenges, EconomicOperand
Hong Kong, EconomicOperand
cross-border regulation, EconomicOperand
diffusion of TCF, EconomicOperand
enforcement trends, EconomicOperand
risk-based approaches,, EconomicOperand
Human rights, EconomicOperand
India, EconomicOperand
Grepresentation, EconomicOperand
mobile money, EconomicOperand
risk-based approach, EconomicOperand
shareholder protection, EconomicOperand
Information asymmetry, EconomicOperand
conflicts of interest, EconomicOperand
insurance, EconomicOperand
retail markets, EconomicOperand
role of gatekeepers, EconomicOperand
Solvency II regulatory methodologies, EconomicOperand
why systems are crisis-prone, EconomicOperand
Innovation see Financial innovation, EconomicOperand
Insider trading, EconomicOperand
rationales for regulation of abuse, EconomicOperand
United States, EconomicOperand
Insolvency, EconomicOperand
banks and banking, EconomicOperand
bank bailouts, EconomicOperand
causes of market failure, EconomicOperand
extension of OLA regime, EconomicOperand
FDIC receivership, EconomicOperand
financial collateral and termination provisions, EconomicOperand
funding of resolution, EconomicOperand
limitations, EconomicOperand
triggering resolution process, EconomicOperand
UK Special Resolution Regime, EconomicOperand
waiver of property rights, EconomicOperand
FMI default management strategies, EconomicOperand
insurers, EconomicOperand
preparing for Solvency II, EconomicOperand
US regulation, EconomicOperand
macro-prudential tools, EconomicOperand
merger of institutions, EconomicOperand
shareholder or financial consumer action groups, EconomicOperand
state intervention, EconomicOperand
Institutions, EconomicOperand
accountability, EconomicOperand
consumer protection, EconomicOperand
‘financial citizenship’, EconomicOperand
institutional restructuring, EconomicOperand
restructuring of authorities, EconomicOperand
costs and funding, EconomicOperand
defining characteristics of institutional supervision, EconomicOperand
development policy, EconomicOperand
dispute resolution, EconomicOperand
alternative approaches compared, EconomicOperand
importance in international finance, EconomicOperand
overview, EconomicOperand
WTO mechanisms, EconomicOperand
effect of trust-building diplomacy, EconomicOperand
European Union (EU), EconomicOperand
Lamfalussy process, EconomicOperand
need for orchestration, EconomicOperand
examples of models in use, EconomicOperand
Australia, EconomicOperand
Canada, EconomicOperand
France, EconomicOperand
Germany, EconomicOperand
United Kingdom, EconomicOperand
United States, EconomicOperand
insurance and preparations for Solvency II, EconomicOperand
internal governance arrangements, EconomicOperand
international regulatory systems, EconomicOperand
effect of trust-building diplomacy, EconomicOperand
