This	B-T2	O	O	
the	B-T2	O	O	
Commission	I-T2	O	O	
shall	B-C	O	O	
undertake	I-C	O	O	
a	I-C	B-T1	O	
review	I-C	I-T1	O	
of	I-C	B-A1	O	
the	I-C	I-A1	B-T1	
definition	I-C	I-A1	I-T1	
,	I-C	I-A1	I-T1	
in	I-C	I-A1	B-A2	
its	I-C	I-A1	I-A2	
entirety	I-C	I-A1	I-A2	
,	I-C	I-A1	I-A2	
of	I-C	I-A1	I-A2	
the	I-C	I-A1	I-A2	
term	I-C	I-A1	I-A2	
accredited	I-C	I-A1	I-A2	
investor	I-C	I-A1	I-A2	
,	I-C	I-A1	I-A2	
as	I-C	I-A1	I-A2	
defined	I-C	I-A1	I-A2	
in	I-C	I-A1	I-A2	
section	I-C	I-A1	I-A2	
230.215	I-C	I-A1	I-A2	
of	I-C	I-A1	I-A2	
title	I-C	I-A1	I-A2	
17	I-C	I-A1	I-A2	
,	I-C	I-A1	I-A2	
Code	I-C	I-A1	I-A2	
of	I-C	I-A1	I-A2	
Federal	I-C	I-A1	I-A2	
Regulations	I-C	I-A1	I-A2	
,	I-C	I-A1	I-A2	
or	I-C	I-A1	O	
any	I-C	I-A1	O	
successor	I-C	I-A1	O	
thereto	I-C	I-A1	O	
,	I-C	I-A1	O	
as	B-A1	O	O	
such	I-A1	O	O	
term	I-A1	O	O	
applies	I-A1	O	O	
to	I-A1	O	O	
natural	I-A1	O	O	
persons	I-A1	O	O	
,	I-A1	O	O	
to	I-A1	O	O	
determine	I-A1	O	O	
whether	I-A1	O	O	
the	I-A1	B-T1	O	
requirements	I-A1	I-T1	O	
of	I-A1	B-A2	O	
the	I-A1	I-A2	O	
definition	I-A1	I-A2	O	
should	I-A1	O	O	
be	I-A1	O	O	
adjusted	I-A1	O	O	
or	I-A1	O	O	
modified	I-A1	O	O	
for	I-A1	B-A2	O	
the	I-A1	I-A2	O	
protection	I-A1	I-A2	O	
of	I-A1	I-A2	O	
investors	I-A1	I-A2	O	
,	I-A1	I-A2	O	
in	I-A1	I-A2	O	
the	I-A1	I-A2	O	
public	I-A1	I-A2	O	
interest	I-A1	I-A2	O	
,	I-A1	I-A2	O	
and	I-A1	I-A2	O	
in	I-A1	I-A2	O	
light	I-A1	I-A2	O	
of	I-A1	I-A2	O	
the	I-A1	I-A2	O	
economy	I-A1	I-A2	O	
.	O	O	O	
Upon	I-A1	O	O	
completion	I-A1	O	O	
of	I-A1	O	O	
a	I-A1	O	O	
review	I-A1	O	O	
under	I-A1	O	O	
subparagraph	I-A1	O	O	
-LRB-	I-A1	O	O	
A	I-A1	O	O	
-RRB-	I-A1	O	O	
,	I-A1	O	O	
the	B-T2	O	O	
Commission	I-T2	O	O	
may	B-C	O	O	
,	I-C	O	O	
by	I-C	B-A1	O	
notice	I-C	I-A1	O	
and	I-C	I-A1	O	
comment	I-C	I-A1	O	
rulemaking	I-C	I-A1	O	
,	I-C	I-A1	O	
make	I-C	O	O	
such	I-C	O	O	
adjustments	I-C	O	O	
to	I-C	O	O	
the	I-C	B-T1	O	
definition	I-C	I-T1	O	
of	I-C	I-T1	O	
the	I-C	I-T1	O	
term	I-C	I-T1	O	
accredited	I-C	I-T1	O	
investor	I-C	I-T1	O	
,	I-C	I-T1	O	
as	I-C	B-A1	O	
defined	I-C	I-A1	O	
in	I-C	I-A1	O	
section	I-C	I-A1	O	
230.215	I-C	I-A1	O	
of	I-C	I-A1	O	
title	I-C	I-A1	O	
17	I-C	I-A1	O	
,	I-C	I-A1	O	
Code	I-C	I-A1	O	
of	I-C	I-A1	O	
Federal	I-C	I-A1	O	
Regulations	I-C	I-A1	O	
,	I-C	I-A1	O	
or	I-C	O	O	
any	I-C	O	O	
successor	I-C	O	O	
thereto	I-C	O	O	
,	I-C	O	O	
as	B-A1	O	O	
such	I-A1	O	O	
term	I-A1	O	O	
applies	I-A1	O	O	
to	I-A1	O	O	
natural	I-A1	O	O	
persons	I-A1	O	O	
,	I-A1	O	O	
as	I-A1	O	O	
the	I-A1	O	O	
Commission	I-A1	O	O	
may	I-A1	O	O	
deem	I-A1	O	O	
appropriate	I-A1	O	O	
for	I-A1	B-A2	O	
the	I-A1	I-A2	O	
protection	I-A1	I-A2	O	
of	I-A1	I-A2	O	
investors	I-A1	I-A2	O	
,	I-A1	I-A2	O	
in	I-A1	I-A2	O	
the	I-A1	I-A2	O	
public	I-A1	I-A2	O	
interest	I-A1	I-A2	O	
,	I-A1	I-A2	O	
and	I-A1	I-A2	O	
in	I-A1	I-A2	O	
light	I-A1	I-A2	O	
of	I-A1	I-A2	O	
the	I-A1	I-A2	O	
economy	I-A1	I-A2	O	
.	O	O	O	
The	B-T2	O	O	
Investment	I-T2	O	O	
Advisers	I-T2	O	O	
Act	I-T2	O	O	
of	I-T2	O	O	
1940	I-T2	O	O	
-LRB-	I-T2	O	O	
15	I-T2	O	O	
U.S.C.	I-T2	O	O	
80b-1	I-T2	O	O	
et	I-T2	O	O	
seq.	I-T2	O	O	
-RRB-	I-T2	O	O	
is	B-C	O	O	
further	I-C	O	O	
amended	I-C	O	O	
by	B-A1	O	O	
adding	I-A1	O	O	
at	I-A1	O	O	
the	I-A1	O	O	
end	I-A1	O	O	
the	I-A1	O	O	
following	I-A1	O	O	
new	I-A1	O	O	
section	I-A1	O	O	
:	I-A1	O	O	
Nothing	B-T2	O	O	
in	I-T2	O	O	
this	I-T2	O	O	
title	I-T2	O	O	
shall	B-C	O	O	
relieve	I-C	O	O	
any	I-C	O	O	
person	I-C	O	O	
of	I-C	O	O	
any	I-C	O	O	
obligation	I-C	O	O	
or	I-C	O	O	
duty	I-C	O	O	
,	I-C	O	O	
or	I-C	O	O	
affect	I-C	O	O	
the	I-C	B-T1	O	
availability	I-C	I-T1	O	
of	I-C	B-A1	O	
any	I-C	I-A1	B-T1	
right	I-C	I-A1	I-T1	
or	I-C	I-A1	I-T1	
remedy	I-C	I-A1	I-T1	
available	I-C	I-A1	B-A2	
to	I-C	I-A1	I-A2	
the	I-C	I-A1	I-A2	
Commodity	I-C	I-A1	I-A2	
Futures	I-C	I-A1	I-A2	
Trading	I-C	I-A1	I-A2	
Commission	I-C	I-A1	I-A2	
or	I-C	I-A1	I-A2	
any	I-C	I-A1	I-A2	
private	I-C	I-A1	I-A2	
party	I-C	I-A1	I-A2	
,	I-C	I-A1	I-A2	
arising	I-C	I-A1	I-A2	
under	I-C	I-A1	I-A2	
the	I-C	I-A1	I-A2	
Commodity	I-C	I-A1	I-A2	
Exchange	I-C	I-A1	I-A2	
Act	I-C	I-A1	I-A2	
-LRB-	I-C	I-A1	I-A2	
7	I-C	I-A1	I-A2	
U.S.C.	I-C	I-A1	I-A2	
1	I-C	I-A1	I-A2	
et	I-C	I-A1	I-A2	
seq.	I-C	I-A1	I-A2	
-RRB-	I-C	I-A1	I-A2	
governing	I-C	I-A1	I-A2	
commodity	I-C	I-A1	I-A2	
pools	I-C	I-A1	I-A2	
,	I-C	I-A1	I-A2	
commodity	I-C	I-A1	I-A2	
pool	I-C	I-A1	I-A2	
operators	I-C	I-A1	I-A2	
,	I-C	I-A1	I-A2	
or	I-C	I-A1	I-A2	
commodity	I-C	I-A1	I-A2	
trading	I-C	I-A1	I-A2	
advisors	I-C	I-A1	I-A2	
.	O	O	O	
The	B-T2	O	O	
Comptroller	I-T2	O	O	
General	I-T2	O	O	
of	I-T2	O	O	
the	I-T2	O	O	
United	I-T2	O	O	
States	I-T2	O	O	
shall	B-C	O	O	
conduct	I-C	O	O	
a	I-C	B-T1	O	
study	I-C	I-T1	O	
on	I-C	B-A1	O	
the	I-C	I-A1	B-T1	
appropriate	I-C	I-A1	I-T1	
criteria	I-C	I-A1	I-T1	
for	I-C	I-A1	B-A2	
determining	I-C	I-A1	I-A2	
the	I-C	I-A1	I-A2	
financial	I-C	I-A1	I-A2	
thresholds	I-C	I-A1	I-A2	
or	I-C	I-A1	O	
other	I-C	I-A1	B-T1	
criteria	I-C	I-A1	I-T1	
needed	I-C	I-A1	B-A2	
to	I-C	I-A1	I-A2	
qualify	I-C	I-A1	I-A2	
for	I-C	I-A1	I-A2	
accredited	I-C	I-A1	I-A2	
investor	I-C	I-A1	I-A2	
status	I-C	I-A1	I-A2	
and	I-C	I-A1	I-A2	
eligibility	I-C	I-A1	I-A2	
to	I-C	I-A1	I-A2	
invest	I-C	I-A1	I-A2	
in	I-C	I-A1	I-A2	
private	I-C	I-A1	I-A2	
funds	I-C	I-A1	I-A2	
,	I-C	I-A1	I-A2	
and	I-C	O	O	
shall	I-C	O	O	
submit	I-C	O	O	
a	I-C	B-T1	O	
report	I-C	I-T1	O	
to	I-C	B-A1	O	
the	I-C	I-A1	O	
Committee	I-C	I-A1	O	
on	I-C	I-A1	O	
Banking	I-C	I-A1	O	
,	I-C	I-A1	O	
Housing	I-C	I-A1	O	
,	I-C	I-A1	O	
and	I-C	I-A1	O	
Urban	I-C	I-A1	O	
Affairs	I-C	I-A1	O	
of	I-C	I-A1	O	
the	I-C	I-A1	O	
Senate	I-C	I-A1	O	
and	I-C	I-A1	O	
the	I-C	I-A1	O	
Committee	I-C	I-A1	O	
on	I-C	I-A1	O	
Financial	I-C	I-A1	O	
Services	I-C	I-A1	O	
of	I-C	I-A1	O	
the	I-C	I-A1	O	
House	I-C	I-A1	O	
of	I-C	I-A1	O	
Representatives	I-C	I-A1	O	
on	I-C	I-A1	O	
the	I-C	I-A1	O	
results	I-C	I-A1	O	
of	I-C	I-A1	O	
such	I-C	I-A1	O	
study	I-C	I-A1	O	
not	B-A1	O	O	
later	I-A1	O	O	
than	I-A1	O	O	
3	I-A1	O	O	
years	I-A1	O	O	
after	I-A1	O	O	
the	I-A1	O	O	
date	I-A1	O	O	
of	I-A1	O	O	
enactment	I-A1	O	O	
of	I-A1	O	O	
this	I-A1	O	O	
Act	I-A1	O	O	
.	O	O	O	
The	B-T2	O	O	
Comptroller	I-T2	O	O	
General	I-T2	O	O	
of	I-T2	O	O	
the	I-T2	O	O	
United	I-T2	O	O	
States	I-T2	O	O	
shall	B-C	O	O	
-LRB-	I-C	O	O	
1	I-C	O	O	
-RRB-	I-C	O	O	
conduct	I-C	O	O	
a	I-C	B-T1	O	
study	I-C	I-T1	O	
of	I-C	B-A1	O	
the	I-C	I-A1	B-T1	
feasibility	I-C	I-A1	I-T1	
of	I-C	I-A1	B-A2	
forming	I-C	I-A1	I-A2	
a	I-C	I-A1	I-A2	
self-	I-C	I-A1	I-A2	
regulatory	I-C	I-A1	I-A2	
organization	I-C	I-A1	I-A2	
to	I-C	I-A1	I-A2	
oversee	I-C	I-A1	I-A2	
private	I-C	I-A1	I-A2	
funds	I-C	I-A1	I-A2	
;	I-C	I-A1	I-A2	
and	I-C	O	O	
-LRB-	I-C	O	O	
2	I-C	O	O	
-RRB-	I-C	O	O	
submit	I-C	O	O	
a	I-C	B-T1	O	
report	I-C	I-T1	O	
to	I-C	B-A1	O	
the	I-C	I-A1	O	
Committee	I-C	I-A1	O	
on	I-C	I-A1	O	
Banking	I-C	I-A1	O	
,	I-C	I-A1	O	
Housing	I-C	I-A1	O	
,	I-C	I-A1	O	
and	I-C	I-A1	O	
Urban	I-C	I-A1	O	
Affairs	I-C	I-A1	O	
of	I-C	I-A1	O	
the	I-C	I-A1	O	
Senate	I-C	I-A1	O	
and	I-C	I-A1	O	
the	I-C	I-A1	O	
Committee	I-C	I-A1	O	
on	I-C	I-A1	O	
Financial	I-C	I-A1	O	
Services	I-C	I-A1	O	
of	I-C	I-A1	O	
the	I-C	I-A1	O	
House	I-C	I-A1	O	
of	I-C	I-A1	O	
Representatives	I-C	I-A1	O	
on	I-C	I-A1	O	
the	I-C	I-A1	O	
results	I-C	I-A1	O	
of	I-C	I-A1	O	
such	I-C	I-A1	O	
study	I-C	I-A1	O	
,	I-C	I-A1	O	
not	B-A1	O	O	
later	I-A1	O	O	
than	I-A1	O	O	
1	I-A1	O	O	
year	I-A1	O	O	
after	I-A1	O	O	
the	I-A1	O	O	
date	I-A1	O	O	
of	I-A1	O	O	
enactment	I-A1	O	O	
of	I-A1	O	O	
this	I-A1	O	O	
Act	I-A1	O	O	
.	O	O	O	
The	B-T2	O	O	
Division	I-T2	O	O	
of	I-T2	O	O	
Risk	I-T2	O	O	
,	I-T2	O	O	
Strategy	I-T2	O	O	
,	I-T2	O	O	
and	I-T2	O	O	
Financial	I-T2	O	O	
Innovation	I-T2	O	O	
of	I-T2	O	O	
the	I-T2	O	O	
Commission	I-T2	O	O	
shall	B-C	O	O	
conduct	I-C	O	O	
-LRB-	I-C	O	O	
1	I-C	O	O	
-RRB-	I-C	O	O	
a	I-C	B-T1	O	
study	I-C	I-T1	O	
,	I-C	I-T1	O	
taking	I-C	B-A1	O	
into	I-C	I-A1	O	
account	I-C	I-A1	O	
current	I-C	I-A1	O	
scholarship	I-C	I-A1	O	
,	I-C	I-A1	O	
on	I-C	I-A1	O	
the	I-C	I-A1	O	
state	I-C	I-A1	O	
of	I-C	I-A1	O	
short	I-C	I-A1	O	
selling	I-C	I-A1	O	
on	I-C	I-A1	O	
national	I-C	I-A1	O	
securities	I-C	I-A1	O	
exchanges	I-C	I-A1	O	
and	I-C	I-A1	O	
in	I-C	I-A1	O	
the	I-C	I-A1	O	
over-the-counter	I-C	I-A1	O	
markets	I-C	I-A1	O	
,	I-C	I-A1	O	
with	I-C	I-A1	O	
particular	I-C	I-A1	O	
attention	I-C	I-A1	O	
to	I-C	I-A1	O	
the	I-C	I-A1	O	
impact	I-C	I-A1	O	
of	I-C	I-A1	O	
recent	I-C	I-A1	O	
rule	I-C	I-A1	O	
changes	I-C	I-A1	O	
and	I-C	I-A1	O	
the	I-C	I-A1	B-T1	
incidence	I-C	I-A1	I-T1	
of	I-C	I-A1	B-A2	
-LRB-	I-C	I-A1	I-A2	
A	I-C	I-A1	I-A2	
-RRB-	I-C	I-A1	I-A2	
the	I-C	I-A1	I-A2	
failure	I-C	I-A1	I-A2	
to	I-C	I-A1	I-A2	
deliver	I-C	I-A1	I-A2	
shares	I-C	I-A1	I-A2	
sold	I-C	I-A1	I-A2	
short	I-C	I-A1	I-A2	
;	I-C	I-A1	I-A2	
or	I-C	I-A1	I-A2	
-LRB-	I-C	I-A1	I-A2	
B	I-C	I-A1	I-A2	
-RRB-	I-C	I-A1	I-A2	
delivery	I-C	I-A1	I-A2	
of	I-C	I-A1	I-A2	
shares	I-C	I-A1	I-A2	
on	I-C	I-A1	I-A2	
the	I-C	I-A1	I-A2	
fourth	I-C	I-A1	I-A2	
day	I-C	I-A1	I-A2	
following	I-C	I-A1	I-A2	
the	I-C	I-A1	I-A2	
short	I-C	I-A1	I-A2	
sale	I-C	I-A1	I-A2	
transaction	I-C	I-A1	I-A2	
;	I-C	I-A1	I-A2	
and	I-C	O	O	
-LRB-	I-C	O	O	
2	I-C	O	O	
-RRB-	I-C	O	O	
a	I-C	B-T1	O	
study	I-C	I-T1	O	
of	I-C	B-A1	O	
-LRB-	I-C	I-A1	O	
A	I-C	I-A1	O	
-RRB-	I-C	I-A1	O	
the	I-C	I-A1	B-T1	
feasibility	I-C	I-A1	I-T1	
,	I-C	I-A1	I-T1	
benefits	I-C	I-A1	I-T1	
,	I-C	I-A1	I-T1	
and	I-C	I-A1	I-T1	
costs	I-C	I-A1	I-T1	
of	I-C	I-A1	B-A2	
requiring	I-C	I-A1	I-A2	
reporting	I-C	I-A1	I-A2	
publicly	I-C	I-A1	I-A2	
,	I-C	I-A1	I-A2	
in	I-C	I-A1	I-A2	
real	I-C	I-A1	I-A2	
time	I-C	I-A1	I-A2	
short	I-C	I-A1	I-A2	
sale	I-C	I-A1	I-A2	
positions	I-C	I-A1	I-A2	
of	I-C	I-A1	I-A2	
publicly	I-C	I-A1	I-A2	
listed	I-C	I-A1	I-A2	
securities	I-C	I-A1	I-A2	
,	I-C	I-A1	I-A2	
or	I-C	I-A1	I-A2	
,	I-C	I-A1	I-A2	
in	I-C	I-A1	I-A2	
the	I-C	I-A1	I-A2	
alternative	I-C	I-A1	I-A2	
,	I-C	I-A1	I-A2	
reporting	I-C	I-A1	O	
such	I-C	I-A1	O	
short	I-C	I-A1	O	
positions	I-C	I-A1	O	
in	I-C	I-A1	O	
real	I-C	I-A1	O	
time	I-C	I-A1	O	
only	I-C	I-A1	O	
to	I-C	I-A1	O	
the	I-C	I-A1	O	
Commission	I-C	I-A1	O	
and	I-C	I-A1	O	
the	I-C	I-A1	O	
Financial	I-C	I-A1	O	
Industry	I-C	I-A1	O	
Regulatory	I-C	I-A1	O	
Authority	I-C	I-A1	O	
;	I-C	I-A1	O	
and	I-C	I-A1	O	
-LRB-	I-C	I-A1	O	
B	I-C	I-A1	O	
-RRB-	I-C	I-A1	O	
the	I-C	I-A1	B-T1	
feasibility	I-C	I-A1	I-T1	
,	I-C	I-A1	I-T1	
benefits	I-C	I-A1	I-T1	
,	I-C	I-A1	I-T1	
and	I-C	I-A1	I-T1	
costs	I-C	I-A1	I-T1	
of	I-C	I-A1	B-A2	
conducting	I-C	I-A1	I-A2	
a	I-C	I-A1	I-A2	
voluntary	I-C	I-A1	I-A2	
pilot	I-C	I-A1	I-A2	
program	I-C	I-A1	I-A2	
in	I-C	I-A1	I-A2	
which	I-C	I-A1	I-A2	
public	I-C	I-A1	I-A2	
companies	I-C	I-A1	I-A2	
will	I-C	I-A1	I-A2	
agree	I-C	I-A1	I-A2	
to	I-C	I-A1	I-A2	
have	I-C	I-A1	I-A2	
all	I-C	I-A1	I-A2	
trades	I-C	I-A1	I-A2	
of	I-C	I-A1	I-A2	
their	I-C	I-A1	I-A2	
shares	I-C	I-A1	I-A2	
marked	I-C	I-A1	I-A2	
short	I-C	I-A1	I-A2	
,	I-C	I-A1	I-A2	
market	I-C	I-A1	I-A2	
maker	I-C	I-A1	I-A2	
short	I-C	I-A1	I-A2	
,	I-C	I-A1	I-A2	
buy	I-C	I-A1	I-A2	
,	I-C	I-A1	I-A2	
buy-to-cover	I-C	I-A1	I-A2	
,	I-C	I-A1	I-A2	
or	I-C	I-A1	I-A2	
long	I-C	I-A1	I-A2	
,	I-C	I-A1	I-A2	
and	I-C	I-A1	O	
reported	I-C	I-A1	O	
in	I-C	I-A1	O	
real	I-C	I-A1	O	
time	I-C	I-A1	O	
through	I-C	I-A1	O	
the	I-C	I-A1	O	
Consolidated	I-C	I-A1	O	
Tape	I-C	I-A1	O	
.	O	O	O	
The	B-T2	O	O	
Commission	I-T2	O	O	
shall	B-C	O	O	
submit	I-C	O	O	
a	I-C	B-T1	O	
report	I-C	I-T1	O	
to	I-C	B-A1	O	
the	I-C	I-A1	O	
Committee	I-C	I-A1	O	
on	I-C	I-A1	O	
Banking	I-C	I-A1	O	
,	I-C	I-A1	O	
Housing	I-C	I-A1	O	
,	I-C	I-A1	O	
and	I-C	I-A1	O	
Urban	I-C	I-A1	O	
Affairs	I-C	I-A1	O	
of	I-C	I-A1	O	
the	I-C	I-A1	O	
Senate	I-C	I-A1	O	
and	I-C	I-A1	O	
the	I-C	I-A1	O	
Committee	I-C	I-A1	O	
on	I-C	I-A1	O	
Financial	I-C	I-A1	O	
Services	I-C	I-A1	O	
of	I-C	I-A1	O	
the	I-C	I-A1	O	
House	I-C	I-A1	O	
of	I-C	I-A1	O	
Representatives	I-C	I-A1	O	
-LRB-	I-C	I-A1	O	
1	I-C	I-A1	O	
-RRB-	I-C	I-A1	O	
on	I-C	I-A1	O	
the	I-C	I-A1	B-T1	
results	I-C	I-A1	I-T1	
of	I-C	I-A1	B-A2	
the	I-C	I-A1	I-A2	
study	I-C	I-A1	I-A2	
required	I-C	I-A1	I-A2	
under	I-C	I-A1	I-A2	
subsection	I-C	I-A1	I-A2	
-LRB-	I-C	I-A1	I-A2	
a	I-C	I-A1	I-A2	
-RRB-	I-C	I-A1	I-A2	
-LRB-	I-C	I-A1	I-A2	
1	I-C	I-A1	I-A2	
-RRB-	I-C	I-A1	I-A2	
,	I-C	I-A1	I-A2	
including	I-C	I-A1	I-A2	
recommendations	I-C	I-A1	I-A2	
for	I-C	I-A1	I-A2	
market	I-C	I-A1	I-A2	
improvements	I-C	I-A1	I-A2	
,	I-C	I-A1	I-A2	
not	I-C	I-A1	O	
later	I-C	I-A1	O	
than	I-C	I-A1	O	
2	I-C	I-A1	O	
years	I-C	I-A1	O	
after	I-C	I-A1	O	
the	I-C	I-A1	O	
date	I-C	I-A1	O	
of	I-C	I-A1	O	
enactment	I-C	I-A1	O	
of	I-C	I-A1	O	
this	I-C	I-A1	O	
Act	I-C	I-A1	O	
;	I-C	I-A1	O	
and	I-C	I-A1	O	
-LRB-	I-C	I-A1	O	
2	I-C	I-A1	O	
-RRB-	I-C	I-A1	O	
on	I-C	I-A1	O	
the	I-C	I-A1	B-T1	
results	I-C	I-A1	I-T1	
of	I-C	I-A1	B-A2	
the	I-C	I-A1	I-A2	
study	I-C	I-A1	I-A2	
required	I-C	I-A1	I-A2	
under	I-C	I-A1	I-A2	
subsection	I-C	I-A1	I-A2	
-LRB-	I-C	I-A1	I-A2	
a	I-C	I-A1	I-A2	
-RRB-	I-C	I-A1	I-A2	
-LRB-	I-C	I-A1	I-A2	
2	I-C	I-A1	I-A2	
-RRB-	I-C	I-A1	I-A2	
,	I-C	I-A1	I-A2	
not	I-C	I-A1	O	
later	I-C	I-A1	O	
than	I-C	I-A1	O	
1	I-C	I-A1	O	
year	I-C	I-A1	O	
after	I-C	I-A1	O	
the	I-C	I-A1	O	
date	I-C	I-A1	O	
of	I-C	I-A1	O	
enactment	I-C	I-A1	O	
of	I-C	I-A1	O	
this	I-C	I-A1	O	
Act	I-C	I-A1	O	
.	O	O	O	
Section	B-T3	O	O	
205	I-T3	O	O	
-LRB-	I-T3	O	O	
e	I-T3	O	O	
-RRB-	I-T3	O	O	
of	B-A1	O	O	
the	I-A1	O	O	
Investment	I-A1	O	O	
Advisers	I-A1	O	O	
Act	I-A1	O	O	
of	I-A1	O	O	
1940	I-A1	O	O	
-LRB-	I-A1	O	O	
15	I-A1	O	O	
U.S.C.	I-A1	O	O	
80b-5	I-A1	O	O	
-LRB-	I-A1	O	O	
e	I-A1	O	O	
-RRB-	I-A1	O	O	
-RRB-	I-A1	O	O	
is	B-C	O	O	
amended	I-C	O	O	
by	B-A1	O	O	
adding	I-A1	O	O	
at	I-A1	O	O	
the	I-A1	O	O	
end	I-A1	O	O	
the	I-A1	O	O	
following	I-A1	O	O	
:	I-A1	O	O	
With	I-A1	O	O	
respect	I-A1	O	O	
to	I-A1	O	O	
any	I-A1	B-T1	O	
factor	I-A1	I-T1	O	
used	I-A1	B-A2	O	
in	I-A1	I-A2	O	
any	I-A1	I-A2	O	
rule	I-A1	I-A2	O	
or	I-A1	I-A2	O	
regulation	I-A1	I-A2	O	
by	I-A1	I-A2	O	
the	I-A1	I-A2	O	
Commission	I-A1	I-A2	O	
in	I-A1	I-A2	O	
making	I-A1	I-A2	O	
a	I-A1	I-A2	O	
determination	I-A1	I-A2	O	
under	I-A1	I-A2	O	
this	I-A1	I-A2	O	
subsection	I-A1	I-A2	O	
,	I-A1	I-A2	O	
if	I-A1	O	O	
the	I-A1	O	O	
Commission	I-A1	O	O	
uses	I-A1	O	O	
a	I-A1	B-T1	O	
dollar	I-A1	I-T1	O	
amount	I-A1	I-T1	O	
test	I-A1	I-T1	O	
in	I-A1	O	O	
connection	I-A1	O	O	
with	I-A1	O	O	
such	I-A1	O	O	
factor	I-A1	O	O	
,	I-A1	O	O	
such	I-A1	B-A2	O	
as	I-A1	I-A2	O	
a	I-A1	I-A2	O	
net	I-A1	I-A2	O	
asset	I-A1	I-A2	O	
threshold	I-A1	I-A2	O	
,	I-A1	I-A2	O	
the	B-T2	O	O	
Commission	I-T2	O	O	
shall	B-C	O	O	
,	I-C	O	O	
by	I-C	B-A1	O	
order	I-C	I-A1	O	
,	I-C	I-A1	O	
not	I-C	I-A1	O	
later	I-C	I-A1	O	
than	I-C	I-A1	O	
1	I-C	I-A1	O	
year	I-C	I-A1	O	
after	I-C	I-A1	O	
the	I-C	I-A1	O	
date	I-C	I-A1	O	
of	I-C	I-A1	O	
enactment	I-C	I-A1	O	
of	I-C	I-A1	O	
the	I-C	I-A1	O	
Private	I-C	I-A1	O	
Fund	I-C	I-A1	O	
Investment	I-C	I-A1	O	
Advisers	I-C	I-A1	O	
Registration	I-C	I-A1	O	
Act	I-C	I-A1	O	
of	I-C	I-A1	O	
2010	I-C	I-A1	O	
,	I-C	I-A1	O	
and	I-C	I-A1	O	
every	I-C	I-A1	O	
5	I-C	I-A1	O	
years	I-C	I-A1	O	
thereafter	I-C	I-A1	O	
,	I-C	I-A1	O	
adjust	I-C	O	O	
for	I-C	O	O	
the	I-C	O	O	
effects	I-C	O	O	
of	I-C	O	O	
inflation	I-C	O	O	
on	I-C	O	O	
such	I-C	O	O	
test	I-C	O	O	
.	O	O	O	
Any	B-T3	O	O	
such	I-T3	O	O	
adjustment	I-T3	O	O	
that	B-A1	O	O	
is	I-A1	O	O	
not	I-A1	O	O	
a	I-A1	O	O	
multiple	I-A1	O	O	
of	I-A1	O	O	
USD100000	I-A1	O	O	
shall	B-C	O	O	
be	I-C	O	O	
rounded	I-C	O	O	
to	I-C	O	O	
the	I-C	O	O	
nearest	I-C	O	O	
multiple	I-C	O	O	
of	I-C	O	O	
USD100000	I-C	O	O	
.	O	O	O	
Except	B-A1	O	O	
as	I-A1	O	O	
otherwise	I-A1	O	O	
provided	I-A1	O	O	
in	I-A1	O	O	
this	I-A1	O	O	
title	I-A1	O	O	
,	I-A1	O	O	
this	B-T2	O	O	
title	I-T2	O	O	
and	I-T2	O	O	
the	I-T2	O	O	
amendments	I-T2	O	O	
made	I-T2	O	O	
by	I-T2	O	O	
this	I-T2	O	O	
title	I-T2	O	O	
shall	B-C	O	O	
become	I-C	O	O	
effective	I-C	O	O	
1	I-C	O	O	
year	I-C	O	O	
after	I-C	O	O	
the	I-C	O	O	
date	I-C	O	O	
of	I-C	O	O	
enactment	I-C	O	O	
of	I-C	O	O	
this	I-C	O	O	
Act	I-C	O	O	
,	I-C	O	O	
except	B-A1	O	O	
that	I-A1	O	O	
any	I-A1	O	O	
investment	I-A1	O	O	
adviser	I-A1	O	O	
may	I-A1	O	O	
,	I-A1	O	O	
at	I-A1	B-A2	O	
the	I-A1	I-A2	O	
discretion	I-A1	I-A2	O	
of	I-A1	I-A2	O	
the	I-A1	I-A2	O	
investment	I-A1	I-A2	O	
adviser	I-A1	I-A2	O	
,	I-A1	I-A2	O	
register	I-A1	O	O	
with	I-A1	O	O	
the	I-A1	O	O	
Commission	I-A1	O	O	
under	I-A1	O	O	
the	I-A1	O	O	
Investment	I-A1	O	O	
Advisers	I-A1	O	O	
Act	I-A1	O	O	
of	I-A1	O	O	
1940	I-A1	O	O	
during	I-A1	O	O	
that	I-A1	O	O	
1-year	I-A1	O	O	
period	I-A1	O	O	
,	I-A1	O	O	
subject	I-A1	O	O	
to	I-A1	O	O	
the	I-A1	O	O	
rules	I-A1	O	O	
of	I-A1	O	O	
the	I-A1	O	O	
Commission	I-A1	O	O	
.	O	O	O	
